Timestamp,KO,KD,KK,KM,KW,NO,ND,NK,NM,NW,PO,PD,PK,PM,PW,TO,TD,TK,TM,TW
07/01/2016 09:18:51,4,5,6,4,7,6,5,7,5,7,2,3,6,3,6,4,3,7,2,7
07/01/2016 14:30:46,3,3,4,3,5,5,3,7,3,5,3,3,4,3,3,6,4,4,4,6
07/01/2016 14:31:12,5,3,4,4,3,4,3,6,5,4,5,6,7,2,4,3,2,4,5,4
07/01/2016 14:57:40,5,5,6,5,6,6,5,5,5,6,4,7,7,6,5,5,3,6,7,5
07/01/2016 17:10:19,2,2,4,3,1,6,2,3,1,1,4,1,3,1,3,2,1,4,3,4
07/01/2016 18:36:42,5,3,6,1,1,6,3,6,1,1,5,2,5,1,1,1,1,2,1,1
07/01/2016 19:22:31,4,5,5,5,3,5,3,4,3,5,4,3,5,3,4,4,3,3,4,4
07/01/2016 22:21:28,3,3,4,5,5,5,4,5,5,6,3,4,5,3,3,3,2,5,4,4
07/01/2016 23:05:15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
09/01/2016 11:39:34,3,4,3,2,5,4,2,3,5,2,3,5,6,2,3,4,1,2,2,3
09/01/2016 11:45:31,5,5,6,3,4,5,3,7,3,1,1,4,6,5,4,2,1,5,5,3
11/01/2016 00:33:33,5,3,4,4,5,3,2,3,3,2,4,4,5,2,2,1,1,1,2,1
11/01/2016 19:58:38,6,4,5,4,4,5,4,5,4,5,5,3,3,3,4,5,2,2,3,3
11/01/2016 19:59:23,2,1,1,1,3,6,1,3,2,2,2,2,4,1,4,3,1,2,1,1
11/01/2016 19:59:40,4,3,5,5,6,6,4,6,5,5,4,5,5,4,4,4,3,5,4,3
11/01/2016 20:00:48,5,3,5,4,6,6,1,5,1,4,5,2,1,1,5,7,1,3,1,4
11/01/2016 20:01:51,2,1,1,1,1,5,1,2,1,1,4,1,2,1,1,1,1,1,1,1
11/01/2016 20:02:11,3,1,1,1,4,4,1,4,1,2,3,4,5,1,4,5,1,1,1,1
11/01/2016 20:02:15,5,2,4,4,4,4,3,5,3,5,2,5,6,2,4,5,2,6,3,4
11/01/2016 20:02:16,6,3,5,4,6,6,3,6,4,6,3,3,4,4,6,3,2,4,3,3
11/01/2016 20:02:16,3,2,1,2,5,5,3,4,2,6,4,3,3,2,5,6,2,3,1,2
11/01/2016 20:02:25,6,2,3,4,6,6,2,4,4,5,2,3,3,1,3,5,1,4,3,5
11/01/2016 20:02:32,4,5,6,3,5,2,1,4,1,2,1,4,6,2,3,1,1,2,2,2
11/01/2016 20:03:36,6,2,5,1,7,5,1,4,1,7,2,1,4,1,2,5,1,5,2,1
11/01/2016 20:03:57,5,3,6,6,7,6,3,5,6,6,6,3,7,3,4,6,1,5,6,5
11/01/2016 20:04:03,3,2,3,1,5,5,2,6,3,6,2,3,5,1,4,2,1,2,1,1
11/01/2016 20:04:52,3,2,4,3,4,6,2,3,3,5,2,3,6,5,2,4,7,2,2,2
11/01/2016 20:05:23,4,3,5,5,6,5,2,3,3,5,4,3,5,4,6,4,2,4,5,6
11/01/2016 20:05:55,1,2,2,2,1,4,3,4,2,5,2,3,4,2,3,3,1,3,2,3
11/01/2016 20:06:35,5,2,3,3,5,6,1,3,2,4,1,1,1,1,1,4,1,3,2,2
11/01/2016 20:06:53,3,2,5,4,6,7,3,6,3,7,2,4,5,5,4,5,1,5,4,5
11/01/2016 20:07:23,5,6,4,3,5,5,4,3,2,6,1,3,4,2,2,6,1,7,1,2
11/01/2016 20:08:04,2,1,1,1,5,5,1,2,1,3,4,1,7,2,3,3,1,3,1,1
11/01/2016 20:08:10,3,1,4,1,2,5,2,4,2,7,5,2,4,2,3,5,1,2,2,1
11/01/2016 20:08:43,2,1,1,2,4,6,1,3,1,4,1,1,2,1,4,1,1,5,5,6
11/01/2016 20:12:38,3,4,4,5,6,5,4,4,4,5,2,5,5,3,2,3,2,3,2,2
11/01/2016 20:13:09,6,2,3,3,6,7,1,4,5,6,7,2,7,3,6,7,1,2,2,4
11/01/2016 20:13:46,3,1,1,1,2,5,2,6,3,5,2,1,4,1,2,4,1,1,1,4
11/01/2016 20:13:48,4,4,6,3,2,5,3,5,3,2,3,4,2,3,4,3,2,5,4,2
11/01/2016 20:15:38,2,2,4,1,1,2,1,3,1,1,1,3,1,1,1,2,1,1,1,1
11/01/2016 20:16:48,4,2,4,3,6,6,4,4,2,7,3,4,5,2,3,5,3,6,3,3
11/01/2016 20:16:59,2,1,1,1,1,4,1,2,2,3,2,2,2,1,1,2,1,1,1,1
11/01/2016 20:18:26,5,3,6,4,2,5,1,6,2,2,1,2,5,3,4,5,1,3,4,1
11/01/2016 20:19:07,2,2,4,3,5,3,3,6,2,6,1,4,7,2,2,2,2,3,3,4
11/01/2016 20:19:33,2,2,4,2,2,3,3,6,2,3,2,3,4,2,3,2,1,3,1,1
11/01/2016 20:20:39,3,2,3,3,5,5,2,4,4,5,3,4,4,3,4,4,1,3,2,1
11/01/2016 20:22:03,5,5,3,4,5,6,2,1,1,6,3,4,3,2,4,5,1,2,2,4
11/01/2016 20:23:56,5,3,3,3,4,5,2,2,1,1,3,4,4,3,3,3,1,1,2,1
11/01/2016 20:24:13,3,3,2,3,5,7,3,4,3,4,3,4,3,2,5,3,2,3,3,3
11/01/2016 20:24:47,2,2,3,4,5,7,3,6,3,4,4,3,5,2,5,6,2,2,2,2
11/01/2016 20:25:27,5,2,3,3,5,6,2,4,2,2,3,3,3,3,3,3,2,4,3,3
11/01/2016 20:26:18,4,3,3,3,4,5,4,5,4,5,5,4,4,2,4,4,2,3,3,4
11/01/2016 20:26:43,2,2,3,2,4,6,2,4,3,2,1,2,5,2,4,3,2,5,2,5
11/01/2016 20:27:20,5,5,6,2,3,4,2,6,1,4,4,2,5,1,4,5,1,7,2,2
11/01/2016 20:31:30,5,3,6,5,5,7,3,5,5,6,3,4,5,2,3,1,1,4,3,1
11/01/2016 20:32:24,5,3,4,3,5,6,2,3,5,3,4,6,6,5,4,5,3,6,4,7
11/01/2016 20:33:48,5,2,4,2,4,5,2,5,3,4,2,3,5,2,3,4,1,2,1,2
11/01/2016 20:34:32,6,2,2,3,5,6,3,3,3,4,4,3,5,3,4,4,2,5,4,4
11/01/2016 20:34:45,3,3,4,3,4,5,4,5,5,4,2,3,4,1,2,1,1,1,3,1
11/01/2016 20:37:09,3,1,4,4,5,6,1,3,2,5,2,3,5,1,4,3,1,2,1,4
11/01/2016 20:40:47,2,1,3,1,2,3,1,2,1,1,2,3,5,2,2,2,2,2,2,3
11/01/2016 20:40:55,6,3,2,3,7,6,2,3,1,5,3,2,7,1,2,6,3,2,2,2
11/01/2016 20:41:31,5,5,6,4,3,3,4,4,3,4,3,4,4,3,4,4,1,6,2,4
11/01/2016 20:44:10,4,3,3,2,3,4,4,4,3,4,3,4,5,3,4,4,2,4,2,4
11/01/2016 20:48:43,3,5,6,5,5,3,3,5,4,5,2,3,5,4,3,3,2,4,4,3
11/01/2016 20:50:38,2,3,6,4,5,4,2,6,6,3,1,3,1,1,1,2,1,4,3,2
11/01/2016 20:56:12,4,1,1,2,1,5,1,4,1,1,2,2,1,5,2,2,1,1,1,1
11/01/2016 20:56:26,2,3,6,1,6,5,2,2,1,6,3,5,3,1,6,2,1,6,2,7
11/01/2016 20:56:45,5,2,4,4,6,5,2,4,4,6,3,4,5,2,4,5,1,4,3,2
11/01/2016 20:58:10,5,3,4,3,7,6,5,7,4,4,2,5,4,2,3,3,1,3,3,3
11/01/2016 20:59:55,4,2,3,2,4,7,3,2,5,4,2,3,7,1,4,5,1,1,2,3
11/01/2016 21:02:05,5,2,3,3,4,4,2,3,3,3,4,4,3,2,2,4,2,2,2,2
11/01/2016 21:02:07,3,2,3,3,5,4,2,4,3,5,3,4,5,3,4,4,2,5,3,2
11/01/2016 21:07:28,4,3,4,3,3,4,2,5,3,4,3,3,5,3,3,2,2,4,3,3
11/01/2016 21:09:54,5,3,4,2,4,6,2,3,1,4,2,1,3,1,4,7,1,3,4,5
11/01/2016 21:16:41,3,3,4,3,5,4,3,4,3,5,3,2,3,1,4,1,1,1,2,3
11/01/2016 21:17:45,6,6,6,3,3,4,2,6,2,4,2,2,4,1,2,5,3,6,6,6
11/01/2016 21:18:31,3,2,2,2,5,6,3,5,4,5,4,5,6,3,4,4,1,2,3,4
11/01/2016 21:19:23,2,3,4,1,4,2,2,5,1,5,2,1,4,1,3,2,1,2,1,2
11/01/2016 21:28:08,3,3,3,4,4,6,3,4,3,3,3,3,4,2,3,4,2,3,5,5
11/01/2016 21:29:18,3,1,3,1,6,6,1,3,1,5,4,2,2,1,4,5,1,5,1,1
11/01/2016 21:34:44,3,2,2,2,3,4,3,4,2,4,4,3,5,5,4,3,2,4,3,4
11/01/2016 21:35:23,5,2,3,3,5,5,2,4,3,5,2,3,5,1,4,4,2,4,4,3
11/01/2016 21:35:50,5,2,5,2,6,5,3,6,2,2,2,2,5,3,3,2,2,1,4,4
11/01/2016 21:42:10,5,4,6,6,7,7,5,6,5,3,4,5,4,3,4,2,1,1,1,2
11/01/2016 21:53:55,4,5,3,2,3,5,3,4,4,5,3,2,5,1,2,7,1,2,1,2
11/01/2016 22:00:37,5,4,5,2,4,6,3,5,3,5,5,3,7,4,2,2,2,4,4,4
11/01/2016 22:04:21,4,2,5,4,6,7,3,4,3,6,1,3,5,3,3,6,4,5,4,4
11/01/2016 22:07:56,2,4,5,3,6,6,3,4,2,6,2,4,7,3,2,3,4,5,5,6
11/01/2016 22:16:05,5,2,4,4,5,7,1,5,5,5,5,2,6,3,4,5,1,2,2,2
11/01/2016 22:19:09,5,3,4,4,5,6,3,6,4,5,2,2,5,3,3,6,2,5,3,6
11/01/2016 22:35:59,3,1,5,2,2,2,1,5,2,1,1,1,1,1,4,1,1,1,1,1
11/01/2016 22:40:31,4,2,3,2,6,6,3,5,4,7,1,3,3,1,2,3,1,6,4,6
11/01/2016 23:11:12,5,2,2,2,5,5,2,3,2,5,1,1,2,1,1,5,1,5,2,3
11/01/2016 23:15:40,2,2,4,4,4,4,2,5,5,5,2,5,5,4,2,1,1,3,5,2
11/01/2016 23:20:19,5,3,6,3,2,4,2,6,3,1,2,3,4,2,2,2,3,5,1,2
11/01/2016 23:21:15,3,3,5,2,5,5,4,6,3,6,4,5,3,2,4,3,2,2,2,3
11/01/2016 23:32:04,3,1,3,3,5,5,1,3,2,3,2,1,3,2,2,5,1,3,2,1
11/01/2016 23:39:39,3,3,3,3,3,5,2,3,2,3,3,4,3,3,2,5,2,2,2,2
11/01/2016 23:51:06,5,4,7,6,6,4,6,7,3,6,2,4,5,3,3,2,4,6,5,3
12/01/2016 00:32:33,4,2,3,2,5,6,3,5,3,4,4,4,4,2,2,5,1,1,2,1
12/01/2016 00:35:12,4,2,3,5,3,4,5,6,4,5,4,7,7,5,7,4,1,2,3,2
12/01/2016 01:14:38,3,5,3,1,6,3,5,6,2,6,2,5,6,1,6,5,1,1,1,4
12/01/2016 01:18:58,4,5,5,3,6,4,3,5,3,5,1,4,5,3,3,2,3,5,4,5
12/01/2016 02:19:53,1,1,2,1,3,4,1,2,1,3,5,3,1,1,5,1,3,3,2,1
12/01/2016 02:27:20,5,2,3,2,5,2,1,4,1,4,1,1,5,1,2,1,1,3,2,3
12/01/2016 02:40:07,5,2,3,4,6,6,3,4,4,6,2,4,5,3,5,3,2,4,4,5
12/01/2016 06:51:48,6,3,4,5,6,5,3,4,4,5,2,3,6,5,5,2,2,5,4,3
12/01/2016 07:43:27,5,3,4,4,5,4,1,5,2,3,1,2,4,2,2,6,1,4,2,3
12/01/2016 08:28:55,3,1,3,4,4,3,1,4,3,2,2,3,3,2,3,4,1,2,3,2
12/01/2016 08:59:26,5,5,5,4,5,6,3,4,3,5,3,4,6,3,3,3,2,4,4,4
12/01/2016 09:06:36,3,4,5,4,6,4,4,5,4,5,3,4,5,4,4,3,3,4,5,4
12/01/2016 09:36:41,3,2,4,1,5,7,1,5,3,7,1,1,5,1,1,1,1,1,1,1
12/01/2016 10:13:00,3,3,4,2,4,5,3,4,3,3,3,4,4,2,3,3,1,2,1,1
12/01/2016 10:27:11,3,3,3,2,3,4,2,3,2,4,3,4,4,2,3,5,2,2,3,2
12/01/2016 11:59:47,2,2,4,3,1,5,3,5,4,5,5,6,4,3,5,4,3,2,1,1
12/01/2016 12:10:23,3,2,5,2,5,4,2,5,2,4,3,2,6,1,3,3,1,3,3,3
12/01/2016 13:33:42,5,2,3,3,7,6,2,4,2,5,4,2,5,3,2,4,1,2,3,5
12/01/2016 13:58:12,4,5,4,2,5,4,2,3,2,4,2,2,4,2,3,4,3,4,2,3
12/01/2016 15:04:05,6,2,4,5,4,4,2,4,3,4,2,1,2,1,2,5,2,3,3,3
12/01/2016 15:48:12,5,2,5,2,5,6,2,5,2,5,2,3,4,1,3,2,1,4,2,1
12/01/2016 20:33:50,3,2,5,4,5,4,3,5,3,5,3,3,5,1,4,3,1,4,2,3
12/01/2016 21:47:39,5,2,3,2,4,6,2,3,2,1,2,4,5,3,3,3,1,5,4,6
13/01/2016 22:42:41,4,2,3,4,3,6,1,2,2,3,2,3,2,4,2,4,1,1,1,1
14/01/2016 23:35:11,4,2,3,2,4,5,2,4,3,3,4,4,5,1,3,6,1,3,3,2
17/01/2016 00:07:08,3,2,3,3,5,6,3,4,4,6,4,2,4,1,3,5,1,2,1,1